pgc,objtype,objname,alt_names,ra_deg,dec_deg,ra_readable,dec_readable,major_arcmin,minor_arcmin,axis_ratio_a_over_b,bt_mag,vt_mag,modbest,e_modbest,distance_mly
71729,G,NGC7689,"2MASXJ23331672-5405401,2MIG3172,6dFJ2333167-540540,AGC036127,ESO192-007,ESOLV1920070,HIPASSJ2333-54,IRAS23305-5422,NGC7689,PGC071729",353.320,-54.094,23h 33m 16.73s,"-54° 05' 40.15""",3.08,1.97,1.57,12.13,10.84,31.94,0.26,79.84
71716,G,NGC7690,"2MASXJ23330254-5141541,AGC036125,ESO240-006,ESOLV2400060,FAIR1049,HIPASSJ2333-51,IRAS23303-5158,NGC7690,PGC071716",353.260,-51.698,23h 33m 02.46s,"-51° 41' 54.33""",2.16,0.85,2.55,12.94,12.31,31.60,0.36,68.21
71730,G,IC5328,"2MASXJ23331645-4500574,6dFJ2333164-450057,ESO291-029,ESOLV2910290,IC5328,PGC071730",353.318,-45.016,23h 33m 16.41s,"-45° 00' 57.53""",2.98,1.75,1.71,12.26,11.37,32.91,0.14,124.46
71797,G,NGC7703,"2MASXJ23344687+1604330,CGCG455-016,MCG+03-60-004,NGC7703,PGC071797,UGC12676,UZC233218+15480",353.695,16.076,23h 34m 46.87s,"+16° 04' 33.00""",2.24,0.42,5.32,14.69,,33.87,0.27,193.48
71829,G,NGC7702,"2MASXJ23352887-5600439,2MIG3179,6dFJ2335289-560044,ESO192-009,ESOLV1920090,NGC7702,PGC071829",353.870,-56.012,23h 35m 28.90s,"-56° 00' 44.11""",2.15,1.05,2.04,13.07,12.15,33.19,0.36,141.59
71881,G,ESO347-029,"AGC036167,ESO347-029,ESOLV3470290,HIPASSJ2336-38,LOG504,MCG-07-48-009,PGC071881",354.111,-38.784,23h 36m 26.62s,"-38° 47' 02.75""",2.86,1.28,2.23,13.65,,32.32,0.42,94.85
71943,G,ESO240-010,"2MASXJ23374441-4730229,6dFJ2337444-473023,ESO240-010,ESOLV2400100,PGC071943,PGC141120",354.435,-47.506,23h 37m 44.41s,"-47° 30' 22.97""",3.37,1.77,1.91,12.59,12.45,33.19,0.37,141.59
72009,G,NGC7723,"2MASXJ23385709-1257396,6dFJ2338571-125740,AGC630235,IRAS23363-1314,LGG480:[G93]001,MCG-02-60-005,NGC7723,PGC072009,PGC196058",354.738,-12.961,23h 38m 57.09s,"-12° 57' 39.90""",3.13,2.21,1.42,11.94,11.21,32.01,0.22,82.38
72178,G,ESO292-014,"2MASXJ23423523-4454174,2MFGC17787,2MIG3188,6dFJ2342352-445417,AGC036251,ESO292-014,ESOLV2920140,FGCE1846,HIPASSJ2342-44,IRAS23399-4510,LOG509,PGC072178,RFGC4170,[RC2]A2340-45",355.647,-44.905,23h 42m 35.24s,"-44° 54' 17.23""",2.97,0.45,6.61,13.98,,31.90,0.36,78.10
72300,G,NGC7744,"2MASXJ23445923-4254391,2MIG3191,6dFJ2344592-425439,ESO292-017,ESOLV2920170,IC5348,MCG-07-48-017,NGC7744,PGC072300,PGC196287",356.247,-42.910,23h 44m 59.22s,"-42° 54' 37.18""",2.48,2.11,1.18,12.80,11.85,33.13,0.38,137.79
72443,G,ESO149-001,"6dFJ2347487-570421,ESO149-001,ESOLV1490010,HIPASSJ2347-57,IRAS23451-5721,LOG513,PGC072443",356.953,-57.072,23h 47m 48.74s,"-57° 04' 21.00""",3.41,0.81,4.24,13.62,,31.73,0.42,72.28
72444,G,NGC7755,"2MASXJ23475176-3031195,6dFJ2347518-303119,AGC036346,ESO471-020,ESOLV4710200,HIPASSJ2347-30,IRAS23452-3047,IRAS23452-3048,MCG-05-56-014,NGC7755,PGC072444,PGC093937,PGC716231,UGCA443",356.966,-30.522,23h 47m 51.77s,"-30° 31' 19.43""",3.70,2.27,1.63,12.46,11.68,32.68,0.26,112.21
73126,G,NGC7796,"2MASXJ23585980-5527301,6dFJ2358598-552730,ESO149-007,ESOLV1490070,NGC7796,PGC073126",359.749,-55.458,23h 58m 59.80s,"-55° 27' 30.13""",2.72,2.37,1.15,12.44,11.47,33.36,0.26,153.12
76841,G,PGC076841,"2MASXJ07145463-2647543,2MFGC05759,CGMW2-00638,PGC076841",108.728,-26.798,07h 14m 54.60s,"-26° 47' 54.51""",2.15,0.13,16.98,,,35.00,0.16,326.46
84880,G,ESO280-001,"ESO280-001,PGC084880",270.831,-43.665,18h 03m 19.34s,"-43° 39' 53.18""",3.51,0.91,3.86,,,32.43,0.52,99.68
88608,G,PGC088608,"PGC088608,SEXTANS1,SEXTANS_DWARF_SPHEROIDAL",153.262,-1.615,10h 13m 02.93s,"-01° 36' 52.20""",29.99,11.99,2.50,12.00,10.40,19.71,0.24,0.29
101317,rn,ESO494-001,"ESO494-001,ESOLV4940010,IRAS07530-2513,PGC101317,ZOAG242.57+01.45",118.780,-25.359,07h 55m 07.10s,"-25° 21' 31.19""",2.79,1.93,1.45,,,,,
128825,G,PGC128825,PGC128825,64.064,-55.783,04h 16m 15.38s,"-55° 47' 00.24""",2.51,0.65,3.84,,,,,
131942,G,PGC131942,"2MASXJ01183533-3448292,PGC131942",19.647,-34.808,01h 18m 35.33s,"-34° 48' 29.20""",2.14,0.65,3.27,,,,,
135388,?,PGC135388,"6dFJ2314172-195843,PGC135388",348.572,-19.979,23h 14m 17.17s,"-19° 58' 42.78""",2.40,0.09,25.64,15.81,,,,
143679,G,PGC143679,"2MASXJ00404778-5929084,6dFJ0040478-592908,PGC143679",10.199,-59.486,00h 40m 47.80s,"-59° 29' 08.35""",4.27,2.04,2.09,14.14,,37.02,0.07,827.61
166068,G,PGC166068,"KK021,MB1,PGC166068,ZOAG135.86+00.86,[KK98]021",38.896,59.378,02h 35m 35.10s,"+59° 22' 42.00""",2.40,1.00,2.40,19.50,,,,
166082,G,PGC166082,"CAMELOPARDALISA,KK041,PGC166082,[KK98]041",66.318,72.806,04h 25m 16.30s,"+72° 48' 21.00""",3.70,2.10,1.76,14.84,14.01,27.79,0.11,11.80
166077,?,PGC166077,"KK035,PGC166077,[KK98]035",56.304,67.865,03h 45m 12.94s,"+67° 51' 52.78""",2.50,1.70,1.47,16.47,,27.56,0.22,10.58
166087,G,PGC166087,"KK051,PGC166087,[KK98]051",87.854,2.909,05h 51m 25.01s,"+02° 54' 33.10""",2.10,0.50,4.20,,,,,
166095,G,PGC166095,"KK069,NGC2683DGSAT1,PGC166095,[KK98]069",133.199,33.793,08h 52m 47.80s,"+33° 47' 33.10""",2.40,1.80,1.33,16.80,,29.82,0.04,30.02
166101,G,PGC166101,"KK077,PGC166101,[KK98]077",147.554,67.509,09h 50m 13.08s,"+67° 30' 33.06""",2.40,1.80,1.33,15.54,,27.90,0.01,12.40
166170,G,PGC166170,"KK208,PGC166170,[KK98]208",204.148,-29.571,13h 36m 35.47s,"-29° 34' 16.84""",6.00,2.50,2.40,14.30,,28.49,0.06,16.27
166861,G,PGC166861,"HFLLZOAG137.80+10.51,KK267,PGC166861,[KK98]267",55.813,68.261,03h 43m 15.20s,"+68° 15' 39.96""",2.20,0.30,7.33,17.70,,31.75,0.71,73.15
213364,G,PGC213364,"2MASXJ07015321+2955536,PGC213364",105.472,29.932,07h 01m 53.21s,"+29° 55' 53.60""",2.99,0.77,3.88,,,,,
260239,G,PGC260239,PGC260239,6.220,-72.795,00h 24m 52.92s,"-72° 47' 42.12""",2.34,1.41,1.66,13.00,,,,
413751,!,PGC413751,PGC413751,289.210,-55.000,19h 16m 50.41s,"-55° 00' 00.00""",2.09,0.74,2.82,14.12,,,,
519567,g,PGC519567,PGC519567,130.813,-46.052,08h 43m 15.13s,"-46° 03' 08.48""",4.90,3.72,1.32,11.21,,,,
685215,G,PGC685215,"2MASXJ22522155-3250205,PGC685215",343.089,-32.839,22h 52m 21.40s,"-32° 50' 20.76""",4.37,2.51,1.74,12.83,,,,
43,G,ESO293-027,"2MASXJ00002948-4029040,6dFJ0000295-402904,ESO293-027,ESOLV2930270,HIPASSJ0000-40,MCG-07-01-005,PGC000043",0.123,-40.484,00h 00m 29.48s,"-40° 29' 03.94""",2.02,0.49,4.10,14.36,,33.19,0.37,141.59
10060,G,NGC1032,"2MASXJ02392368+0105376,CGCG388-086,EGISJ023923.6+010538,EONJ039.849+01.094,MCG+00-07-073,NGC1032,PGC010060,SRGB149.043,UGC02147,UZC023648+00530",39.849,1.094,02h 39m 23.64s,"+01° 05' 37.80""",3.58,0.86,4.19,12.65,11.67,32.91,0.41,124.40
